Tên xe,Giá( VNĐ),Nhiên liệu,Công suất(HP),Chỗ ngồi,Mục đích,Tình trạng,Kiểu xe,Hộp số
VIOS 1.5E-MT,458.000.000,Xăng,106,5,Dịch vụ,Mới,Sedan,MT
VIOS 1.5E-CVT,488.000.000,Xăng,106,5,Dịch vụ,Mới,Sedan,AT
VIOS 1.5G-CVT,545.000.000,Xăng,106,5,Dịch vụ,Mới,Sedan,AT
Camry HEV Premium,1.320.000.000,Hybrid,184,5,Cá nhân & Gia đình,Mới,Sedan,AT
Camry HEV Luxury,1.460.000.000,Hybrid,184,5,Cá nhân & Gia đình,Mới,Sedan,AT
INNOVA CROSS 2.0HEV,960.000.000,Hybrid,150,7,Cá nhân & Gia đình,Mới,MPV,AT
INNOVA CROSS 2.0G,730.000.000,Xăng,172,8,Cá nhân & Gia đình,Mới,MPV,AT
INNOVA CROSS 2.0V,825.000.000,Xăng,172,8,Dịch vụ,Mới,MPV,AT
VELOZ CROSS CTV,638.000.000,Xăng,105,7,Dịch vụ,Mới,MPV,AT
VELOZ CROSS CTV TOP,660.000.000,Xăng,105,7,Dịch vụ,Mới,MPV,AT
AVANZA PREMIO MT,558.000.000,Xăng,105,7,Dịch vụ,Mới,MPV,MT
AVANZA PREMIO CTV,598.000.000,Xăng,105,7,Dịch vụ,Mới,MPV,AT
ALPHARD HEV,4.415.000.000,Hybrid,185,7,Dịch vụ,Mới,MPV,AT
YARIS CROSS HEV,728.000.000,Hybrid,90,5,Cá nhân & Gia đình,Mới,SUV/CUV,AT
YARIS CROSS,650.000.000,Xăng,105,5,Cá nhân & Gia đình,Mới,SUV/CUV,AT
COROLLA CROSS HEV,865.000.000,Hybrid,97,5,Cá nhân & Gia đình,Mới,SUV/CUV,AT
COROLLA CROSS,820.000.000,Xăng,138,5,Cá nhân & Gia đình,Mới,SUV/CUV,AT
RAIZE,510.000.000,Xăng,98,5,Chuyên dụng,Mới,SUV/CUV,AT
FORTUNER LEGENDER 2.7AT 4x4,1.395.000.000,Xăng,122,7,Chuyên dụng,Mới,SUV/CUV,AT
FORTUNER LEGENDER 2.7AT 4x2,1.290.000.000,Xăng,122,7,Chuyên dụng,Mới,SUV/CUV,AT
FORTUNER 2.7AT 4X2,1.155.000.000,Xăng,122,7,Cá nhân & Gia đình,Mới,SUV/CUV,AT
LAND CRUISER 300,4.580.000.000,Xăng,305,7,Cá nhân & Gia đình,Mới,SUV/CUV,AT
LAND CRUISER PRADO,3.480.000.000,Xăng,267,7,Cá nhân & Gia đình,Mới,SUV/CUV,AT
LAND CRUISER FJ,1.198.000.000,Xăng,122,5,Cá nhân & Gia đình,Mới,SUV/CUV,AT
WIGO G,405.000.000,Xăng,87,5,Cá nhân & Gia đình,Mới,Hatchback,AT
HILUX STANDARD 2.8 4X2 MT,632.000.000,Dầu,201,5,Dịch vụ,Mới,Bán tải,MT
HILUX PRO 2.8 4x2 AT,706.000.000,Dầu,201,5,Dịch vụ,Mới,Bán tải,AT
HILUX TRAILHUNTER 2.8 4x4 AT,903.000.000,Dầu,201,5,Dịch vụ,Mới,Bán tải,AT
S6 Sportback e-tron,4.199.000.000,Điện,543,5,Thể thao,Mới,Sedan,AT
e-tron GT,4.250.000.000,Điện,530,5,Thể thao,Mới,Sedan,AT
e-tron GT quattro,5.200.000.000,Điện,646,5,Thể thao,Mới,Sedan,AT
RS e-tron GT,5.530.000.000,Điện,912,5,Thể thao,Mới,Sedan,AT
Q6 e-tron,3.199.000.000,Điện,292,5,Thể thao,Mới,Sedan,AT
A5 S line,2.249.000.000,Xăng,196,5,Thể thao,Mới,Sedan,AT
A6 S line,2.799.000.000,Xăng,196,5,Thể thao,Mới,Sedan,AT
A7 Sportback,3.099.000.000,Xăng,245,5,Thể thao,Mới,Sedan,AT
A8 L,5.699.000.000,Xăng,340,5,Thể thao,Mới,Sedan,AT
Q2,1.630.000.000,Xăng,150,5,Thể thao,Mới,SUV/CUV,AT
Q3 SUV,2.099.000.000,Xăng,148,5,Cá nhân & Gia đình,Mới,SUV/CUV,AT
Q3 Sportback,2.199.000.000,Xăng,150,5,Cá nhân & Gia đình,Mới,SUV/CUV,AT
Q5 SUV,2.849.000.000,Xăng,196,5,Cá nhân & Gia đình,Mới,SUV/CUV,AT
Q5 Sportback,2.949.000.000,Xăng,196,5,Cá nhân & Gia đình,Mới,SUV/CUV,AT
Q7 SUV,3.799.000.000,Xăng,252,5,Cá nhân & Gia đình,Mới,SUV/CUV,AT
Q8 SUV,4.399.000.000,Xăng,340,5,Cá nhân & Gia đình,Mới,SUV/CUV,AT
Grand i10 Sedan 1.2 MT Tiêu Chuẩn,380.000.000,Xăng,81.9,5,Dịch vụ,Mới,Sedan,MT
Grand i10 Sedan 1.2 AT Tiêu Chuẩn,425.000.000,Xăng,81.9,5,Dịch vụ,Mới,Sedan,AT
Grand i10 Sedan 1.2 AT,455.000.000,Xăng,81.9,5,Dịch vụ,Mới,Sedan,AT
Grand i10 Hatchback 1.2 MT Tiêu Chuẩn,360.000.000,Xăng,81.9,5,Dịch vụ,Mới,Hatchback,MT
Grand i10 Hatchback 1.2 AT Tiêu Chuẩn,405.000.000,Xăng,81.9,5,Dịch vụ,Mới,Hatchback,AT
Grand i10 Hatchback 1.2 AT,435.000.000,Xăng,81.9,5,Dịch vụ,Mới,Hatchback,AT
Accent 1.5 MT,439.000.000,Xăng,113.4,5,Dịch vụ,Mới,Sedan,MT
Accent 1.5 AT,489.000.000,Xăng,113.4,5,Dịch vụ,Mới,Sedan,AT
Accent 1.5 AT Đặc Biệt,529.000.000,Xăng,113.4,5,Cá nhân & Gia đình,Mới,Sedan,AT
Accent 1.5 AT Cao Cấp,569.000.000,Xăng,113.4,5,Cá nhân & Gia đình,Mới,Sedan,AT
Elantra 1.6 AT Tiêu chuẩn,579.000.000,Xăng,128,5,Cá nhân & Gia đình,Mới,Sedan,AT
Elantra 1.6 AT Đặc biệt ,639.000.000,Xăng,128,5,Cá nhân & Gia đình,Mới,Sedan,AT
Elantra 2.0 AT Cao Cấp,699.000.000,Xăng,154,5,Cá nhân & Gia đình,Mới,Sedan,AT
Elantra N-Line,769.000.000,Xăng,204,5,Cá nhân & Gia đình,Mới,Sedan,AT
Venue 1.0 T-GDi,524.000.000,Xăng,120,5,Cá nhân & Gia đình,Mới,SUV/CUV,AT
Venue 1.0 T-GDi Đặc biệt,559.000.000,Xăng,120,5,Cá nhân & Gia đình,Mới,SUV/CUV,AT
Creta 1.5L Tiêu Chuẩn,599.000.000,Xăng,113.4,6,Cá nhân & Gia đình,Mới,SUV/CUV,AT
Creta 1.5L Đặc Biệt,659.000.000,Xăng,113.4,6,Cá nhân & Gia đình,Mới,SUV/CUV,AT
Creta 1.5L Cao Cấp,705.000.000,Xăng,113.4,6,Cá nhân & Gia đình,Mới,SUV/CUV,AT
Creta 1.5 N-Line,715.000.000,Xăng,113.4,6,Cá nhân & Gia đình,Mới,SUV/CUV,AT
Tucson 2.0 Tiêu Chuẩn,769.000.000,Xăng,156,5,Cá nhân & Gia đình,Mới,SUV/CUV,AT
Tucson 2.0 Đặc Biệt,859.000.000,Xăng,156,5,Cá nhân & Gia đình,Mới,SUV/CUV,AT
Tucson 2.0 Dầu Đặc Biệt,989.000.000,Dầu,156,5,Cá nhân & Gia đình,Mới,SUV/CUV,AT
Tucson 1.6 Turbo,979.000.000,Xăng,123,5,Cá nhân & Gia đình,Mới,SUV/CUV,AT
SantaFe Exclusive,1.069.000.000,Xăng,191,7,Cá nhân & Gia đình,Mới,SUV/CUV,AT
SantaFe Prestige,1.265.000.000,Xăng,191,7,Cá nhân & Gia đình,Mới,SUV/CUV,AT
SantaFe Caligraphy,1.315.000.000,Xăng,191,7,Cá nhân & Gia đình,Mới,SUV/CUV,AT
SantaFe Caligraphy Turbo,1.365.000.000,Xăng,191,7,Cá nhân & Gia đình,Mới,SUV/CUV,AT
Santa Fe 2.5 Tiêu Chuẩn,1.029.000.000,Xăng,191,7,Cá nhân & Gia đình,Cũ,SUV/CUV,AT
Santa Fe 2.2 Tiêu Chuẩn,1.120.000.000,Xăng,202,7,Cá nhân & Gia đình,Cũ,SUV/CUV,AT
Santa Fe 2.5 Cao Cấp,1.210.000.000,Xăng,191,7,Cá nhân & Gia đình,Cũ,SUV/CUV,AT
Santa Fe 2.2 Cao Cấp,1.269.000.000,Dầu,202,7,Cá nhân & Gia đình,Cũ,SUV/CUV,AT
Santa Fe Hybrid,1.369.000.000,HYBRID,180,7,Cá nhân & Gia đình,Cũ,SUV/CUV,AT
Santa Fe 2.5 Đặc Biệt,1.190.000.000,Xăng,191,7,Cá nhân & Gia đình,Cũ,SUV/CUV,AT
Santa Fe 2.2 Đặc Biệt,1.069.000.000,Dầu,202,7,Chuyên dụng,Cũ,SUV/CUV,AT
Stargazer Đặc Biệt,569.000.000,Xăng,113.4,7,Chuyên dụng,Cũ,SUV/CUV,AT
Stargazer Cao Cấp,615.000.000,Xăng,191,7,Cá nhân & Gia đình,Cũ,SUV/CUV,AT
Stargazer Tiêu Chuẩn,489.000.000,Xăng,191,7,Dịch vụ,Mới,SUV/CUV,AT
Stargazer X,489.000.000,Xăng,113.4,7,Cá nhân & Gia đình,Mới,SUV/CUV,AT
Stargazer X Cao Cấp,489.000.000,Xăng,113.4,7,Cá nhân & Gia đình,Mới,SUV/CUV,AT
IONIQ 5 Exclusive,1.300.000.000,Điện,218,5,Cá nhân & Gia đình,Mới,SUV/CUV,AT
IONIQ 5 Prestige,1.450.000.000,Điện,218,5,Cá nhân & Gia đình,Mới,SUV/CUV,AT
Palisade Exclusive 7 Chỗ,1.469.000.000,Dầu,197,7,Dịch vụ,Mới,SUV/CUV,AT
Palisade Exclusive 6 chỗ,1.479.000.000,Dầu,197,6,Dịch vụ,Mới,SUV/CUV,AT
Palisade Prestige 7 chỗ,1.559.000.000,Dầu,197,7,Dịch vụ,Mới,SUV/CUV,AT
Palisade Prestige 6 chỗ,1.589.000.000,Dầu,197,6,Dịch vụ,Mới,SUV/CUV,AT
Custin 1.5T Tiêu chuẩn,820.000.000,Xăng,160,7,Cá nhân & Gia đình,Mới,MPV,AT
Custin 1.5T Ðặc biệt,915.000.000,Xăng,160,7,Chuyên dụng,Mới,MPV,AT
Custin 2.0T Cao cấp,974.000.000,Xăng,160,7,Chuyên dụng,Mới,MPV,AT
New Porter 150 1.2 T,375.000.000,Xăng,130,2,Dịch vụ,Mới,Thương mại/Van,MT
New Porter 150 1.5 T,365.000.000,Dầu,130,2,Dịch vụ,Mới,Thương mại/Van,MT
New Porter 150 1.25 T,440.000.000,Dầu,130,2,Dịch vụ,Mới,Thương mại/Van,MT
New Porter 150 1 T,365.000.000,Dầu,130,2,Dịch vụ,Mới,Thương mại/Van,MT
New Mighty 75S ,635.000.000,Dầu,140,2,Dịch vụ,Mới,Thương mại/Van,MT
New Mighty 110SL,685.000.000,Dầu,140,2,Dịch vụ,Mới,Thương mại/Van,MT
Nissan Kicks e-Power E,789.000.000,Xăng,129,5,Cá nhân & Gia đình,Mới,SUV/CUV,AT
Nissan Kicks e-Power V,858.000.000,Xăng,129,5,Cá nhân & Gia đình,Mới,SUV/CUV,AT
Nissan Almera EL,489.000.000,Xăng,120,5,Cá nhân & Gia đình,Mới,Sedan,AT
Nissan Almera V,529.000.000,Xăng,120,5,Cá nhân & Gia đình,Mới,Sedan,AT
Nissan Almera VL,569.000.000,Xăng,120,5,Cá nhân & Gia đình,Mới,Sedan,AT
Nissan Almera MT,469.000.000,Xăng,113.4,5,Cá nhân & Gia đình,Mới,Sedan,MT
Nissan Almera CVT,539.000.000,Xăng,100,5,Cá nhân & Gia đình,Mới,Sedan,AT
Nissan Almera CVT Cao Cấp,595.000.000,Xăng,100,5,Cá nhân & Gia đình,Mới,Sedan,AT
Nissan Navara EL 2WD,685.000.000,Dầu,190,5,Cá nhân & Gia đình,Mới,Bán tải,AT
Nissan Navara VL 4WD,936.000.000,Dầu,190,5,Cá nhân & Gia đình,Mới,Bán tải,AT
Nissan Navara Pro4x 4WD,960.000.000,Dầu,190,5,Cá nhân & Gia đình,Mới,Bán tải,AT
Nissan Terra 2.5 2WD MT,899.000.000,Dầu,190,7,Cá nhân & Gia đình,Cũ,SUV/CUV,MT
Nissan Terra 2.5 2WD AT,948.000.000,Xăng,170,7,Cá nhân & Gia đình,Cũ,SUV/CUV,MT
Nissan Terra 2.5 4WD AT,1.198.000.000,Xăng,170,7,Cá nhân & Gia đình,Cũ,SUV/CUV,MT
Nissan X-Trail V-Series 2.0 SL Luxury,913.000.000,Xăng,142,7,Cá nhân & Gia đình,Cũ,SUV/CUV,MT
Nissan X-Trail V-Series 2.5 SV Luxury,1.023.000.000,Xăng,171,7,Cá nhân & Gia đình,Cũ,SUV/CUV,MT
New Sportage Hybrid,999.000.000,HYBRID,232,5,Cá nhân & Gia đình,Mới,SUV/CUV,AT
New Sorento Hybrid,1.349.000.000,HYBRID,232,7,Cá nhân & Gia đình,Mới,SUV/CUV,AT
New Carnival Hybrid,1.399.000.000,HYBRID,242,7,Cá nhân & Gia đình,Cũ,MPV,AT
Sorento Plug-in Hybrid,1.399.000.000,HYBRID,261,7,Cá nhân & Gia đình,Cũ,SUV/CUV,AT
New Sportage 2.0G,769.000.000,Xăng,154,5,Cá nhân & Gia đình,Cũ,SUV/CUV,AT
New Carnival 2.2D Luxury 8S,1.299.000.000,Dầu,199,8,Cá nhân & Gia đình,Cũ,MPV,AT
New Sorento 2.2D Signature,1.339.000.000,Dầu,198,7,Cá nhân & Gia đình,Cũ,SUV/CUV,AT
Carens 1.5G MT Deluxe,559.000.000,Xăng,113,7,Dịch vụ,Cũ,MPV,MT
New Seltos 1.5L AT,549.000.000,Xăng,113,5,Cá nhân & Gia đình,Cũ,SUV/CUV,AT
New Sonet 1.5 AT,450.000.000,Xăng,113,5,Cá nhân & Gia đình,Cũ,SUV/CUV,AT
K5 2.0 Luxury,769.000.000,Xăng,150,5,Cá nhân & Gia đình,Mới,Sedan,AT
K3 1.6 MT Deluxe,549.000.000,Xăng,126,5,Cá nhân & Gia đình,Mới,Sedan,MT
Soluto MT,345.000.000,Xăng,94,5,Dịch vụ,Mới,Sedan,MT
Morning MT,349.000.000,Xăng,83,5,Dịch vụ,Mới,Hatchback,MT
New Morning AT,439.000.000,Xăng,83,5,Cá nhân & Gia đình,Mới,Hatchback,AT
Seltos 1.5L Luxury,609.000.000,Xăng,113,5,Cá nhân & Gia đình,Mới,SUV/CUV,AT
Sonet 1.5 Deluxe,489.000.000,Xăng,113,5,Cá nhân & Gia đình,Mới,SUV/CUV,AT
Carens 1.5G IVT,634.000.000,Xăng,113,7,Cá nhân & Gia đình,Mới,MPV,AT
K5 2.0 Premium,889.000.000,Xăng,150,5,Cá nhân & Gia đình,Mới,Sedan,AT
K3 1.6 AT Luxury,584.000.000,Xăng,126,5,Cá nhân & Gia đình,Mới,Sedan,AT
Sportage 2.0G Premium,949.000.000,Xăng,154,5,Cá nhân & Gia đình,Mới,SUV/CUV,AT
Sportage 2.0G Signature,1.029.000.000,Xăng,154,5,Cá nhân & Gia đình,Mới,SUV/CUV,AT
Sportage 1.6T Signature AWD,1.109.000.000,Xăng,178,5,Cá nhân & Gia đình,Mới,SUV/CUV,AT
Sportage 2.0D Signature,1.119.000.000,Dầu,184,5,Cá nhân & Gia đình,Mới,SUV/CUV,AT
Carens 1.5G Luxury,699.000.000,Xăng,113,7,Cá nhân & Gia đình,Mới,MPV,AT
Carens 1.4T Premium,799.000.000,Xăng,138,7,Cá nhân & Gia đình,Mới,MPV,AT
Carens 1.5D Premium,829.000.000,Dầu,113,7,Cá nhân & Gia đình,Mới,MPV,AT
Carens 1.4T Signature,849.000.000,Xăng,138,7,Cá nhân & Gia đình,Mới,MPV,AT
K3 1.6 Premium,709.000.000,Xăng,126,5,Cá nhân & Gia đình,Mới,Sedan,AT
K3 2.0 Premium,739.000.000,Xăng,150,5,Cá nhân & Gia đình,Mới,Sedan,AT
K3 1.6 Turbo GT,819.000.000,Xăng,201,5,Thể thao,Mới,Sedan,AT
K5 2.5 GT-Line,935.000.000,Xăng,191,5,Cá nhân & Gia đình,Mới,Sedan,AT
Seltos 1.4 DCT Deluxe,659.000.000,Xăng,138,5,Cá nhân & Gia đình,Mới,SUV/CUV,AT
Seltos 1.4 DCT Luxury,704.000.000,Xăng,138,5,Cá nhân & Gia đình,Mới,SUV/CUV,AT
Seltos 1.6 Premium,749.000.000,Xăng,121,5,Cá nhân & Gia đình,Mới,SUV/CUV,AT
